Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;91900;91900;2011;20111231; 159.221 ; 2.337,23 ; 68.124 ;;;;;;;
AT13;92000;92000;2011;20111231; 114.831 ; 1.381,45 ; 83.124 ;;;;;;;
AT13;92100;92100;2011;20111231; 36.821 ; 257,10 ; 143.214 ;;;;;;;
AT13;92200;92200;2011;20111231; 534.221 ; 3.339,90 ; 159.951 ;;;;;;;
AT13;92300;92300;2011;20111231; 77.691 ; 825,72 ; 94.089 ;;;;;;;
AT13;90000;90000;2012;20121231; 12.262.828 ; 7.099,29 ; 1.727.332 ;;;;;;;
AT13;90100;90100;2012;20121231; 2.137.689 ; 131.388,38 ; 16.270 ;;;;;;;
AT13;90200;90200;2012;20121231; 1.491.456 ; 15.456,42 ; 96.494 ;;;;;;;
AT13;90300;90300;2012;20121231; 1.328.440 ; 15.607,36 ; 85.116 ;;;;;;;
AT13;90400;90400;2012;20121231; 604.494 ; 19.611,70 ; 30.823 ;;;;;;;
AT13;90500;90500;2012;20121231; 410.497 ; 7.788,02 ; 52.709 ;;;;;;;
AT13;90600;90600;2012;20121231; 581.200 ; 19.607,40 ; 29.642 ;;;;;;;
AT13;90700;90700;2012;20121231; 738.302 ; 24.475,86 ; 30.165 ;;;;;;;
AT13;90800;90800;2012;20121231; 426.356 ; 18.060,77 ; 23.607 ;;;;;;;
AT13;90900;90900;2012;20121231; 452.029 ; 11.419,31 ; 39.585 ;;;;;;;
AT13;91000;91000;2012;20121231; 766.900 ; 4.245,03 ; 180.658 ;;;;;;;
AT13;91100;91100;2012;20121231; 133.917 ; 1.458,19 ; 91.838 ;;;;;;;
AT13;91200;91200;2012;20121231; 249.933 ; 2.809,64 ; 88.956 ;;;;;;;
